id,question,correct_answer,categories
24281,"Which of the following components are needed to prove negligence? 4 steps
Options, A: 4 way to treat your patient with care; B: the 4 steps of death; C: Duty to Act, Breach of Duty, Injury/causation, damages; D: the care of caring for your nurses;",C,Prevent patient from harm
21034,"What are the primary objectives of ethical practice in healthcare settings?
Options, A: A. Evaluate treatment outcomes and improve patient satisfaction; B: B. Discern right from wrong and commit to act on a decision; C: C. Maximize profit and minimize costs; D: D. Follow regulations and maintain professional licenses;",B,"Recognize the responsibility, dignity, honesty, integrity of the occupation;Give top priority to patient’s interest in conflict of interests"
23767,"Ethical principles provide a foundation and direction for making complex decisions in care. You are a nurse practitioner providing care for a 75-year-old patient. The patient's adult child demands to enter the room before you see the patient. You provide direction to the adult child by asking them to wait outside the room until you are able to speak to the patient. What ethical principle have you provided the patient?
Options, A: Autonomy; B: Nonmaleficence; C: Beneficence; D: Fidelity;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Maintain a professional relationship with patients and their relatives"
22055,"What ethical violation was highlighted by the 1963 incident involving the injection of tumor cells at the Jewish Chronic Disease Hospital in 
Options, A: Resource allocation; B: Patient confidentiality; C: Informed consent; D: End-of-life care;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients"
24473,"What is the term used to describe the obligation of a medical assistant to verify medication type and dosage before administration?
Options, A: Due diligence; B: Standard of care; C: Informed consent; D: Reasonable care;",D,Prevent patient from harm;Provide professional medical care to patients
22493,"The principle of beneficence requires nurses to do which of the following?
Options, A: Be truthful in all circumstances.; B: Undertake actions that benefit their patients.; C: Keep promises to patients and families.; D: Treat each patient as a unique individual with dignity.;",B,"Respect life, dignity of patients;Prevent patient from harm"
22028,"Which of the following issues represent two main areas of ethical debate in nursing practice?
Options, A: Access to patient files and documentation; B: Family presence and filming in the birthing room; C: Medical Assistance in Dying (MAID) and genomics; D: Nonregulated providers and nursing students participating in care;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
24640,"All of the following are issues in health care ethics except:
Options, A: Social media; B: Quality of life; C: Care at the end of life; D: Access to health care; E: All above are correct;",E,"Respect life, dignity of patients"
20965,"Which of the following is a basic ethical concept when making decisions regarding patient care?
Options, A: First do no harm; B: All of the above; C: Act in the patient's best interest; D: Act in good faith (do what you're supposed to do);",B,Give top priority to patient’s interest in conflict of interests;Prevent patient from harm
23919,"There are several beliefs that claim not all people are capable of rational decisions. What factor uniquely defines paternalism?
Options, A: The belief that some humans are not truly people, but property; B: The belief that infringing upon someone's autonomy is in their best interest; C: The belief that some people are not humans but aliens; D: The belief that interfering with someone's autonomy is in your best interest;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
25627,"A healthcare professional is faced with a situation where a patient disagrees with their treatment plan. How can the principle of humility guide the professional's response?
Options, A: By insisting on the treatment plan without considering the patient's views.; B: By avoiding the conversation altogether.; C: By dismissing the patient's opinion as unimportant.; D: By acknowledging the patient's concerns and engaging in a respectful dialogue.;",D,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
24834,"The Principles of Medical Ethics regulate the standard of conduct expected of physicians in their relationship with
Options, A: other physicians; B: patients; C: all of these; D: the general public;",C,Respect and Cooperate with colleagues
20987,"The Health Care Principles are used to guide ethical decision-making:
Options, A: All answers are correct; B: In policy-making at health care institutions; C: In creating health care legislation; D: On the job in health care;",A,Comply with laws and regulations;Give top priority to patient’s interest in conflict of interests
20983,"The failure to provide care that results in physical, emotional or mental harm is:
Options, A: Negligence; B: Neglect; C: Abuse; D: Malpractice;",B,Prevent patient from harm;Provide professional medical care to patients
24217,"The intent of the Patient Self Determination Act (PSDA) of 1990 is to:
Options, A: Enhance personal control over legal care decisions.; B: Emphasize client education.; C: Give one federal standard for living wills and durable powers of attorney.; D: Encourage medical treatment decision making prior to need.;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
20648,"You are the ICU attending physician taking care of a 40-year-old gay man with AIDS who is intubated with his third bout of pneumocystis pneumonia. His condition is worsening steadily and he has not responded to appropriate antibiotic therapy. The patient's longtime partner, Richard, has a signed durable power of attorney (DPOA) and states that if the patient's condition becomes futile the patient would not want ongoing ventilation. As the ICU attending you decide that ongoing intubation is futile. You consult with Richard and decide to remove the patient from the ventilator to allow him to die in the morning. The patient's Roman Catholic parents arrive from Kansas and threaten a lawsuit if the ventilator is withdrawn. Who is the legal decision maker here?
Options, A: The decision maker is the doctor; he decided that the patient's condition is futile.; B: The patient's partner, Richard, is the decision maker.; C: The parents are the legal decisions maker because the patient is single.; D: Because of the conflict between the parents and the partner, a court order should be obtained to withdraw the ventilator.;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
24908,"In the context of healthcare, medical ethics is relevant to which of the following areas?
Options, A: Patient care decisions; B: Research involving human subjects; C: Healthcare policy formulation; D: All of these answers apply;",D,Ethical research;Provide professional medical care to patients
20793,"A nurse calls the state regulatory agency with concerns for client abandonment to report multiple team members who have been collaborating to leave the nursing unit for hours at a time during a shift. What type of whistleblowing is this an example of?
Options, A: Financial whistleblowing; B: Internal whistleblowing; C: Nurse-driven whistleblowing; D: External whistleblowing;",D,Report unethical and unprofessional conduct
20620," Mrs. W is an 81-year-old woma n with recurrent colon cancer with liver metastases admitted to the hospi tal for chemotherapy.  Mrs. W still wants to be a ""full code."" Y our intern suggests that you sign her out as a ""slow code.""  Should you do this?
Options, A:  Yes, because slow codes are ethically justifiable. ; B:  Yes, because the ""slow code "" allows the appearance of respecting the patient' s desire for CPR. ; C:  No, because slow codes are illegal.  ; D:  No, because the slow code is not actually complying with the request for a “full code” and is ethically unjustifiable. ;",D,"Respect life, dignity of patients"
22777,"Which is not one of the 4 D's of negligence?
Options, A: Direct Cause; B: Defamation of Character; C: Damages; D: Dereliction of duty;",B,Prevent patient from harm
25066,"Which is NOT a Fundamental Principle of Professionalism?
Options, A: Primacy of Patient Welfare; B: Social Justice; C: Cost-Ratio Benefit; D: Patient Autonomy;",C,Give top priority to patient’s interest in conflict of interests
22438,"Explain the concept of false imprisonment in the context of healthcare. How does it differ from other forms of legal restraint?
Options, A: It involves detaining a patient without consent, which is similar to negligence.; B: It refers to the legal right of healthcare providers to restrain patients for their safety.; C: It is the act of holding a person against their will, distinct from consent and ethical treatment.; D: It is a form of malpractice that only applies to physical restraint.;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Prevent patient from harm"
22532,"Explain how the Declaration of Helsinki builds upon the principles established by the Nuremberg Code in terms of research ethics.
Options, A: It emphasizes the importance of voluntary participation and adds privacy protections.; B: It introduces the concept of informed consent without any additional rights.; C: It focuses solely on the legal aspects of medical research.; D: It eliminates the need for consent in certain medical experiments.;",A,"Ethical research;Respect the patient’s rights to be informed, informed consent and freedom of choice"
22643,"Ethical problems occur when:
Options, A: values conflict with behavior.; B: norms conflict with rules.; C: behavior conflicts with culture.; D: rules conflict with values.; E: culture conflicts with norms.;",A,"Respect life, dignity of patients"
21733,"In healthcare, the principle that ensures only authorized individuals have access to patient information is known as a _____________.
Options, A: public information standard; B: universal access policy; C: open records principle; D: need to know basis;",D,Keep confidential of patient’s information
24717,"Why do nurses want to promote autonomy?
Options, A: So the client is able to make a rational, informed decision and may refuse treatment for any reason; B: So The nurse is able to make a rational, informed, un-coerced decision for a client; C: So The client is able to make an informed, un-coerced decision and may refuse treatment for any reason; D: So the client is able to make a rational, informed, un-coerced decision and may refuse treatment for a good reason;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Respect the decision-making of incompetent/competent patient "
26062,"A 26-year-old woman comes to the physician for a follow-up vaccination 1 week after being bitten by a rodent while camping. She received appropriate post-exposure prophylaxis in the emergency department and has already received 2 doses of the rabies vaccine. The same physician has been managing the post-exposure care regimen. After the physician administers the third dose of the rabies vaccine, the patient asks him if he would like to join her for a movie and dinner. The physician is interested in going on a date with her. Which of the following is the most appropriate reaction for the physician to have to the patient's invitation?
Options, A: Inform the patient that he will go on a date with her, but that she will have to transfer her care to a different physician.; B: Inform the patient that he will go on a date with her because her case is uncomplicated and does not require decision-making on his part.; C: Inform the patient that dating her will never be appropriate even once the physician-patient relationship has been terminated.; D: Inform the patient that romantic relationships with current patients are unethical.; E: Inform the patient that he will go on a date with her because she no longer requires his service as a physician.
"";",D,Maintain a professional relationship with patients and their relatives;Managing and minimizing conflicts of interest;Give top priority to patient’s interest in conflict of interests
22948,"In your own words, explain how the Teleological perspective applies to the ethical debate surrounding Dr. Kevorkian's practices.
Options, A: It evaluates the morality of actions based on their adherence to laws.; B: It disregards the consequences of actions in favor of strict ethical rules.; C: It focuses on the intentions behind Dr. Kevorkian's actions rather than the results.; D: It assesses the ethical implications based on the outcomes of actions.;",D,"Respect life, dignity of patients"
24371,"What is the primary ethical concern associated with charging for emergency medical services as discussed in Jewish law?
Options, A: It may lead to increased medical malpractice.; B: It raises issues of accessibility for those in need.; C: It violates the principle of patient confidentiality.; D: It encourages doctors to prioritize profit over care.;",B,Allocate medical sources fairly
22224,"The disclosure of private information concerning a patient or photographing a patient without his or her consent.
Options, A: Libel; B: Slander; C: Invasion of privacy; D: Defamation;",C,Keep confidential of patient’s information
24353,"What is the primary ethical principle discussed in Jewish law that relates tointervening in situations where there is a risk of harm to others?
Options, A: Lo Taamod Al Dam Rayecha; B: Pikuach Nefesh; C: Tikkun Olam; D: Chesed;",A,Prevent patient from harm
21879,"Which of the following is not one of the three arguments used to defend restricting disclosure (""less than full"") when it comes to delivering bad news to patients in clinical settings?
Options, A: Communication is more about the effect or impression on the hearer than it is about the act of being truthful. Full disclosure does not always produce the best effects; B: Given the nature of medical knowledge, only practitioners are really equipped to determine which patients are stable enough to hear bad news and which are not; C: Some people don't want to know the truth about their condition and a health care practitioner has no right to force them to hear it; D: Benevolent Deception--sometimes lying/exaggeration etc. produces no real hard and actually produced benefit;",B,"Maintain truthful, factual communication;Respect the patient’s rights to be informed, informed consent and freedom of choice"
24411,"Explain the concept of malpractice in the context of medical imaging and radiation safety. What are some potential consequences of malpractice in this field?
Options, A: It refers to any error made by a healthcare professional.; B: It is a legal term that implies a breach of duty causing harm to a patient.; C: It only applies to surgical errors.; D: It is synonymous with patient dissatisfaction.;",B,Comply with laws and regulations;Prevent patient from harm
23971,"Why is confidentiality of Protected Health Information (PHI) crucial in healthcare settings?
Options, A: It allows healthcare providers to share information freely.; B: It builds trust between patients and healthcare providers.; C: It reduces the need for informed consent.; D: It ensures that all medical records are publicly accessible.;",B,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
23246,"The purpose of a state's Nurse Practice Act is to:
Options, A: protect the nurse from unsafe patients.; B: safeguard the practice of nursing from lawmakers.; C: protect the public from unsafe nurses.; D: punish nurses who make errors.;",C,Comply with laws and regulations;Prevent patient from harm
25355,"Bioethics is commonly understood as ethical implications and applications of the health -related life sciences. It attempts to explore even deeper issues such as the meaning of life and death, pain and suffering, and rights and responsibilities. Which of these statements is true?
Options, A: Only the first statement is TRUE; B: Both statements are TRUE; C: Only the second statement is TRUE; D: Both statements are not TRUE;",B,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
24629,"A nurse and teacher are discussing legal issues related to the practice of their professions. The teacher asks what is the primary purpose of the Nurse Practice Act in that state. The nurse replies that the Nurse Practice Act is intended to do which of the following?
Options, A: >Protect the public; B: >Enforce ethical standards of behavior; C: >Accredit schools of nursing; D: >Define the scope of nursing practice;",A,Comply with laws and regulations;Prevent patient from harm
24707,"Which situation best describes the role of the nurse as a ""patient advocate""?
Options, A: Providing discharge education to a patient going home after surgery; B: Obtaining an additional doctor's order for pain medication for a patient whose pain has been poorly controlled; C: Assisting the patient to ambulate in the hall with a walker; D: Providing wet to dry dressing changes every shift as ordered by the MD;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Give top priority to patient’s interest in conflict of interests;Respect life, dignity of patients"
20529,"Dumping of patients is considered to be:
Options, A: Is a federal offense; B: Is acceptable when it affects the hospitals profits; C: Completely acceptable; D: Can be done if the hospital administrator approves it;",A,"Respect life, dignity of patients;Comply with laws and regulations;Provide professional medical care to patients"
21551,"Which of the following best describes the focus of Aretaic Ethics in the context of healthcare?
Options, A: The consequences of actions in determining moral value; B: The adherence to rules and duties regardless of outcomes; C: The application of ethical principles to ensure patient autonomy; D: The cultivation of moral character and virtues in healthcare providers;",D,"Maintain a professional relationship with patients and their relatives;Recognize the responsibility, dignity, honesty, integrity of the occupation"
21702,"If a new medication management system is implemented in a clinic, what should be the first step to ensure medication safety?
Options, A: Conduct a thorough analysis of the existing workflow to identify potential risks.; B: Train all staff on the new system without assessing current workflows.; C: Immediately start using the new system for all patients.; D: Focus solely on the technology used in the new system.;",A,Prevent patient from harm;Provide professional medical care to patients
25090,"Standard of behavior that are reflective of moral values; created to raise the standard of competence.
Options, A: Virtues; B: Laws; C: Commands; D: Ethics;",D,"Recognize the responsibility, dignity, honesty, integrity of the occupation"
22686,"A nurse is assisting a client in values clarification. Which of the following actions should the nurse assist the client to complete first?
Options, A: A - Develop a religious affiliation to assist with the process.; B: D - Follow values held by one's mentors as a first step.; C: C - Act in a way that is consistent with one's beliefs.; D: B - Identify what is meaningful in one's life.;",D,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
23152,"Confidentiality is not an absolute obligation: exception 1 is:
Options, A: An informed consent; B: Agreement for terminal patients; C: concern to safety for other specific reasons;",C,Keep confidential of patient’s information
25029,"Which of the following best describes the importance of compassion and empathy in patient care?
Options, A: It ensures that healthcare providers can make decisions without patient input.; B: It allows healthcare professionals to prioritize their own emotional needs over those of the patient.; C: It focuses solely on the physical symptoms of a patient's condition.; D: It fosters a therapeutic relationship that addresses the emotional and psychological needs of patients.;",D,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives"
22626,"What is the first step in dealing with an ethical dilemma?
Options, A: notifying management; B: clarifying the values of all concerned patients; C: resolving the values of all concerned patients; D: notifying the CNO;",B,Make responsible and independent clinical judgement 
20533,"The following disease is considered reportable to the state department of health:
Options, A: Herpes; B: Common cold; C: AIDS; D: UTI;",C,Comply with laws and regulations;Promote the health of community and public education
21950,"Which of the following best describes the significance of culturally competent care in nursing practice?
Options, A: It ensures that all patients receive the same treatment regardless of their background.; B: It allows nurses to impose their own cultural beliefs on patients for better outcomes.; C: It focuses solely on the medical needs of patients without considering their cultural context.; D: It enhances patient trust and satisfaction by acknowledging and respecting individual cultural differences.;",D,"Respect life, dignity of patients;Treat patients fairly and equally"
22657,"A nurse discovers that patient information is being displayed on a public bulletin board in the staff lounge. What is the most appropriate action for 
Options, A: a. Remove the information from the bulletin board immediately.; B: b. Discuss the situation with the nurse manager to address the privacy violation.; C: c. Leave the information as is, since it is not being accessed by patients.; D: d. Post a notice on the bulletin board reminding staff to keep patient information confidential.;",B,"Respect life, dignity of patients;Keep confidential of patient’s information"
20591,"Doctors do have an obligation to:
Options, A: All of the above; B: Rescue persons who are in danger; C: Prevent and remove harm; D: Help individuals with disabilities;",A,"Respect life, dignity of patients;Prevent patient from harm"
23862,"Making false or damaging statements about another person is
Options, A: defamation of character; B: known as a good standard of care; C: a breach of duty; D: a way to strengthen a relationship;",A,"Maintain truthful, factual communication"
23341,"What landmark case established a basic principle of medical law regarding patient consent?
Options, A: Donoghue v. Stevenson; B: Scholendorf v. Society of New York Hospital; C: Roe v. Wade; D: Fletcher v. Rylands;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
22363,"When working with a patient with different cultural beliefs from your own, one way to demonstrate cultural sensitivity is to:
Options, A: adopt the values and behaviors of the patient's culture.; B: detach from one's own cultural identity.; C: use cultural resources during interventions.; D: share your own beliefs with the patient.;",C,"Respect life, dignity of patients"
21582,"In the event of a violation of healthcare regulations, who is primarily responsible for taking disciplinary action against the offending employee?
Options, A: The healthcare organization’s compliance officer; B: The employee's direct supervisor; C: The state licensing board; D: The employer of the governing entity;",D,Report unethical and unprofessional conduct;Comply with laws and regulations
21311,"A new client, Susan is a 15-year-old single woman who is seeing a dental hygienist for dental care for the first time. In this practice, radiographs are taken for every new client as part of the diagnostic data gathering. As a safety precaution before taking radiographs, women of childbearing age are asked whether they could be pregnant. Susan, aware that her mother is in the waiting room, very quietly tells the hygienist that she is pregnant. She also says that her parents are unaware of her condition and begs the dental hygienist not to tell her mother or the dentist. Which main ethical principles are involved for the dental hygienist in this case?
Options, A: Beneficence and Justice; B: Autonomy and nonmaleficence; C: Nonmaleficence and veracity; D: Justice and Autonomy;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Keep confidential of patient’s information"
24847,"Applying one method of ethical reasoning to a situation:
Options, A: May lead to an incomplete understanding of the matter.; B: Will allow the decision-maker to perform a cost-benefit analysis.; C: Will respect the human rights of the persons involved.; D: All of the above;",A,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
22108,"A nurse is faced with a situation where a patient refuses a life-saving treatment due to personal beliefs. How should the nurse respond in accordance with ethical principles?
Options, A: Override the patient's decision for their own good; B: Encourage the family to persuade the patient to accept treatment; C: Respect the patient's autonomy and provide information about the consequences; D: Document the refusal and take no further action;",C,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
25025,"Demonstrating compassion and empathy for patients includes
Options, A: None of the listed answers; B: Discussing your personal life with those you have known for a long time; C: Trying to talk them into treatments or procedures they are hesitant about; D: Becoming personally involved with them outside of the office;",A,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives;Respect the patient’s rights to be informed, informed consent and freedom of choice"
25897,"Clinical judgment in prescribing includes:
Options, A: Assessing the cost to the patient of the medication prescribed; B: Prescribing the newest medication available for the disease process; C: Giving out drug samples to the poor population; D: Prescribing only generic medications to cut costs;",A,Make responsible and independent clinical judgement ;Give top priority to patient’s interest in conflict of interests
21906,"Which of the following best exemplifies the ethical principle of socialized power in nursing practice?
Options, A: A healthcare team collaborating to implement a new protocol that improves patient safety and outcomes; B: A nurse prioritizing their own career advancement over patient care; C: A physician withholding information from a patient to avoid causing distress; D: A nurse reporting a colleague for minor infractions without considering the impact on team dynamics;",A,Respect and Cooperate with colleagues;Give top priority to patient’s interest in conflict of interests
22719,"The nurse is providing care for a patient who is confused and constantly pulls at an indwelling catheter and nasogastric (NG) tube. The nurse has tried multiple alternatives to restraints, none of which have been effective. Which specific question will the nurse mentally ask before calling the health-care provider for a restraint order?
Options, A: ""Will the patient become worse if restraints are applied?""; B: ""Is placing the patient in restraints the last resort?""; C: ""How will we convince the patient that this is needed?""; D: ""Are restraints necessary to maintain tube placement?"";",D,"Respect life, dignity of patients;Prevent patient from harm"
26070,"A 32-year-old woman, gravida 2, para 0, at 22 weeks' gestation comes to the emergency department for abdominal pain and heavy vaginal bleeding for 2 hours. She has had no prenatal care. Her temperature is 37.2掳C (99.0掳F), pulse is 102/min, respirations are 16/min, and blood pressure is 138/82 mm Hg. The abdomen is nontender, and regular contractions are felt every 2 minutes. The uterus is consistent in size with a 20-week gestation. There is blood on the vulva, introitus, and medial aspect of the thighs. Ultrasound shows complete detachment of the placenta from the uterus. Fetal heart tones are absent. An emergent cesarean delivery is performed. Following the procedure, the patient becomes tearful and distraught. Which of the following is the most appropriate initial response by the physician?
Options, A: 鈥淚'm sorry for your loss. Let's talk about how to move forward from here.鈥; B: 鈥淟osing a baby is difficult, but I'm sure next time it'll work out.鈥; C: 鈥淚'm sorry for your loss. This must be a difficult situation for you.鈥; D: 鈥淟osing a baby is difficult; but I see this every day, and I know you'll get through it.鈥; E: 鈥淚'm sorry for your loss. I can write you a prescription to help with your anxiety and grief.鈥;",C,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives"
23566,"Explain how the concept of beneficence applies to nursing practice, particularly in the context of caring for patients regardless of their background.
Options, A: It allows nurses to prioritize their personal beliefs over patient care.; B: It emphasizes the importance of understanding a patient's history before providing care.; C: It focuses on the legal obligations of nurses in patient care.; D: It requires nurses to provide compassionate care to all patients, irrespective of their circumstances.;",D,"Respect life, dignity of patients;Treat patients fairly and equally"
21434,"Which of the following is NOT a responsibility of a medical technologist?
Options, A: To provide accurate and reliable test results.; B: To maintain the confidentiality of patient information.; C: To uphold the law and avoid engaging in illegal work.; D: To promote the use of alternative medicine.;",D,Comply with laws and regulations;Keep confidential of patient’s information
25753,"What is the primary purpose of the Electronic Transactions and Code Sets rule under HIPAA?
Options, A: To establish penalties for non-compliance with patient confidentiality; B: To mandate that all patient records be stored electronically; C: To require healthcare providers to disclose patient information to insurance companies; D: To ensure all healthcare providers use standardized electronic transactions and code sets;",D,Comply with laws and regulations
25375,"The nurse cares for a client with a terminal disease who has an advance directive and healthcare provider prescription supporting a do not resuscitate (DNR) code status. The client stops breathing and loses a pulse. The client's adult child states, ""I changed my mind. Do whatever you can to save him!"" Which intervention is most appropriate at this time?
Options, A: Explain the client's wishes to the client's child.; B: Call for help to initiate cardiopulmonary resuscitation.; C: Call the healthcare provider;",A,"Respect life, dignity of patients"
21919,"A concern for the welfare and well-being of others. In professional practice, it is reflected by the nurse's concern and advocacy for the welfare of patients, other nurses, and other healthcare providers.
Options, A: Altruism; B: Autonomy; C: Human dignity; D: Integrity; E: Social justice;",A,"Respect life, dignity of patients;Give top priority to patient’s interest in conflict of interests"
21876,"A boundary crossing is:
Options, A: Leaving school grounds without permission during the school day; B: More serious than a dual relationship; C: Speaking to a developmentally delayed student about his or her personal life; D: A boundary violation; E: A departure from the verbal and physical distances normally maintained in a counseling interaction;",E,"Respect life, dignity of patients;Maintain a professional relationship with patients and their relatives;Prevent patient from harm"
22065,"OSHA regulations protect workers from exposure to:
Options, A: unsafe working environments, contaminated environments, and infections.; B: exposure to blood-borne pathogens, blood, bodily fluids, secretions, and excretions.; C: needles, sharp instruments, and equipment.; D: all of the above;",D,Comply with laws and regulations
22093,"The ARRT Rules of Ethics main points are
Options, A: unethical conduct, including sexual misconduct; B: subversion of ARRT exams (including sharing questions from ARRT exams), continuing education requirements, and the continuing qualifications requirements; C: unprofessional conduct, including compromising a patient's safety, health or life; D: fraud involving ARRT certification/registration, credentials or billing practices at the place of employment;",D,Prevent patient from harm
21491,"Which nursing actions could result in malpractice?
Options, A: Forgets to complete the assessment of a client; B: Learns about a new piece of equipment; C: Charts the client's drug allergies; D: Questions primary care provider about an illegible order;",A,Prevent patient from harm
23382,"A nurse is present with the patient during a physician's explanation of the planned surgical procedure and serves as a witness to the patient's signature on the consent form. Which of the following is a requirement for informed consent?
Options, A: Consent must be voluntary; B: Information must be communicated in terms that the patient can understand; C: Family member should be fully informed; D: Consent must be voluntary, and information must be communicated in terms of the patient can understand; E: Content must be voluntary, and family members should be fully informed;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients"
25410,"Define deception (ethics)
Options, A: People's expectations or beliefs influencing or determining their experience in a given situation; B: Purposely misleading experiment participants in order to maintain the integrity of the experiment; C: Researchers and participants don't know who's in what group; D: All of the above;",B,"Ethical research;Maintain truthful, factual communication"
22772,"An emancipated minor may consent to
Options, A: dental care; B: medical care; C: medical, dental, and psychiatric care.; D: psychiatric care;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
22289,"In an emergency, a patient is unconscious and unable to give consent for a necessary surgical procedure. How should the healthcare team proceed while upholding patient rights?
Options, A: Wait for the patient to regain consciousness to obtain consent.; B: Proceed with the surgery, assuming implied consent in an emergency.; C: Contact the patient's next of kin for consent.; D: Refrain from any treatment until consent is explicitly given.;",B,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Provide Assistance in Emergency"
22879,"What does the Patient Care Partnership (PCP) discuss?
Options, A: Patient expectations and rights during their hospital stay.; B: Healthcare provider responsibilities only; C: Ethical dilemmas in nursing; D: Legal issues in nursing practice;",A,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients;Provide professional medical care to patients"
25364,"Sue, a staff nurse, consistently arrives 15 minute late for her shift, and the nurse manager has talked to her about it several times. Sue does not take the comments seriously because there are two other nurses who also arrive late all the time, and the unit manager does not reprimand them. In this situation, the nurse manager is violating the ethical principle of:
Options, A: Beneficence.; B: Nonmaleficence.; C: Autonomy.; D: Justice.;",D,Allocate medical sources fairly;Treat patients fairly and equally
22120,"Explain why a healthcare provider must be cautious about dismissing a patient from their care. What legal implications could arise from such an action?
Options, A: It may lead to a loss of patient trust; B: It could result in abandonment charges; C: It is irrelevant to patient care; D: It only affects the provider's reputation;",B,Provide professional medical care to patients
23737,"What key elements does the Patient Care Partnership (PCP) emphasize for patients receiving care in a healthcare facility?
Options, A: The financial obligations of patients towards their healthcare providers; B: The rights of patients to receive respectful and considerate care; C: The requirement for patients to follow all medical advice without question; D: The necessity for patients to provide detailed medical histories at all times;",B,"Respect life, dignity of patients;Respect the patient’s rights to be informed, informed consent and freedom of choice"
21390,"Which of the following best describes the ethical principle of justice in the context of nursing practice?
Options, A: A commitment to providing care based on the individual needs of each patient.; B: The principle of truthfulness in communicating with patients about their treatment options.; C: The obligation to treat all patients with fairness and to ensure equitable distribution of healthcare resources.; D: The duty to act in the best interest of the patient, prioritizing their well-being above all.;",C,Allocate medical sources fairly;Treat patients fairly and equally
25089,"Informed consent is based on the assumption that the client is competent to make informed decisions and
Options, A: is able to pass simple intelligence tests; B: is able to read and write; C: understands the information being given; D: understands their legal rights;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice"
25145,"Which of the following best describes the difference between Active Neglect and Passive Neglect in a caregiving context?
Options, A: D. Active Neglect occurs when a caregiver is overwhelmed, while Passive Neglect is when care is provided consistently.; B: B. Active Neglect is always related to physical harm, whereas Passive Neglect only affects emotional well-being.; C: C. Active Neglect is a result of caregiver burnout, while Passive Neglect is a deliberate act of omission.; D: A. Active Neglect involves intentional harm, while Passive Neglectis due to lack of knowledge or understanding.;",D,"Respect life, dignity of patients;Prevent patient from harm"
21138,"What is BENEFICENCE?
Options, A: Maximizing the bad, minimizing the good; B: Maximizing the good, minimizing the bad; C: Being loyal to your participants; D: Obtaining informed consent;",B,Prevent patient from harm
23999,"A DNR order is effective:
Options, A: When a patient can no longer make decisions regarding his/her care; B: When cardiopulmonary resuscitative measures are exhausted; C: If the patient is over 80; D: If the family agrees to the order; E: When a patient experiences cardiopulmonary arrest;",E,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect the decision-making of incompetent/competent patient "
20486,"An 87-year-old man with glioblastoma multiforme is informed that the size and location of the tumor make operative resection impossible, and he has a prognosis of between 3-6 months. The patient then asks whether it would be possible to get a prescription for lethal medications so that he would be able to end his life if his situation deteriorated further. The physician says that he is unable to prescribe such drugs because assisted suicide is not legal in their state. Refusing to help a patient commit suicide is most consistent with which of the following ethical principles?
Options, A: Non-maleficence; B: Beneficence; C: Distributive justice; D: Formal justice; E: Autonomy;",A,Prevent patient from harm
24299,"What document replaced the AHA's Bill of Rights in healthcare settings?
Options, A: Healthcare Ethics Code; B: Patient Rights Declaration; C: Patient Care Partnership; D: Informed Consent Guidelines;",C,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Respect life, dignity of patients"
25544,"Which of the following concept best represents the justification for intentionally overriding of a patient's autonomy to provide better healthcare?
Options, A: Role fidelity; B: Beneficence; C: Professional particularism; D: Paternalism;",D,"Respect the patient’s rights to be informed, informed consent and freedom of choice;Prevent patient from harm"
24635,"Delivering services that are respectful of and responsive to the health beliefs, practices and cultural and linguistic needs of diverse patients/communities
Options, A: cultural awareness; B: cultural competency; C: cultural respect;",C,Promote the health of community and public education;Treat patients fairly and equally
